DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2000,65971,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2001,65844,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2002,66334,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2003,67159,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2004,72320,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2005,76875,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2006,78549,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2007,81222,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2008,83137,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2009,84484,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2010,84082,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2011,78115,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2012,78115,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2013,76246,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AD,2019,76177,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2000,3058497,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2001,3063318,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2002,3057018,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2003,3044993,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2004,3034231,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2005,3019634,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2006,3003329,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2007,2981755,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2008,2958266,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2009,2936355,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2010,2918674,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2011,2907361,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2012,2903008,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2013,2897770,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2014,2892394,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2015,2885796,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2016,2875592,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2017,2876591,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2018,2870324,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2019,2862427,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2020,2845955,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AL,2021,2829741,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2000,3226900,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2001,3215300,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2002,3212900,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2003,3210300,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2004,3212200,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2005,3215800,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2006,3219234,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2007,3222953,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2008,3230086,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2009,3237976,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2010,3249482,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2011,3262650,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2012,3274285,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2015,3010598,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2016,2998577,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2017,2986151,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2018,2972732,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2019,2965269,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2020,2959694,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AM,2021,2963251,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2000,8002186,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2001,8020946,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2002,8063640,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2003,8100273,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2004,8142573,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2005,8201359,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2006,8254298,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2007,8282984,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2008,8307989,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2009,8335003,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2010,8351643,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2011,8375164,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2012,8408121,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2013,8451860,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2014,8507786,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2015,8584926,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2016,8700471,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2017,8772865,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2018,8822267,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2019,8858775,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2020,8901064,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2021,8932664,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AT,2022,8978929,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2000,8016200,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2001,8081000,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2002,8141400,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2003,8202500,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2004,8265700,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2005,8347300,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2006,8436400,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2007,8532700,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2008,8629900,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2009,8896900,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2010,8997586,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2011,9111078,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2012,9235085,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2013,9356483,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2014,9477119,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2015,9593038,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2016,9705643,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2017,9809981,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2018,9898085,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2019,9981457,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2020,10067108,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,AZ,2021,10119133,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2000,3753085,e
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2001,3789717,e
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2002,3813167,e
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2003,3830349,e
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2004,3837414,e
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2005,3842532,e
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2006,3842650,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2007,3844017,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2008,3843846,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2009,3843998,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2010,3844046,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2011,3843183,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BA,2012,3839265,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2000,10239085,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2001,10263414,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2002,10309725,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2003,10355844,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2004,10396421,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2005,10445852,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2006,10511382,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2007,10584534,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2008,10666866,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2009,10753080,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2010,10839905,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2011,11000638,b
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2012,11075889,b
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2013,11137974,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2014,11180840,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2015,11237274,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2016,11311117,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2017,11351727,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2018,11398589,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2019,11455519,
ESTAT:DEMO_PJAN(1.0),22/02/23 11:00:00,A,NR,TOTAL,T,BE,2020,11522440,
