,country_name,organic_food_percent,glass_percent,metal_percent,other_waste_percent,paper_cardboard_percent,plastic_percent,population_number_of_people,continents
2,Angola,51.8,6.7,4.4,11.5,11.9,13.5,25096150,Africa
3,Albania,51.4,4.5,4.8,15.21,9.9,9.6,2854191,Europe
4,Andorra,31.2,8.2,2.6,11.6,35.1,11.3,82431,Europe
5,United Arab Emirates,39.0,4.0,3.0,10.0,25.0,19.0,9770529,Asia
6,Argentina,38.74,3.16,1.84,15.36,13.96,14.61,42981516,South America
7,Armenia,57.0,3.2,3.4,17.4,6.7,11.4,2906220,Asia
8,American Samoa,19.7,3.4,7.9,25.6,26.4,12.8,55599,Oceania
9,Antigua and Barbuda,46.0,7.0,7.0,12.0,15.0,13.0,96777,North America
10,Australia,48.44,3.81,19.38,3.46,17.3,7.61,23789338,Oceania
11,Austria,31.4,7.0,4.4,18.5,19.7,11.1,8877067,Europe
12,Azerbaijan,45.19,5.28,3.49,13.73,10.93,7.87,9649341,Asia
13,Burundi,81.0,2.9,2.1,3.2,7.3,3.5,6741569,Africa
14,Belgium,14.18,3.1,1.91,40.14,18.38,13.94,11484055,Europe
15,Benin,52.1,1.6,1.6,34.3,3.1,7.3,5521763,Africa
16,Burkina Faso,21.0,1.0,1.0,61.0,7.0,9.0,18110624,Africa
17,Bangladesh,80.57999999999998,0.44,0.5,8.59,3.04,4.67,155727056,Asia
18,Bulgaria,24.35,5.83,1.98,17.93,14.18,12.15,7025037,Europe
19,Bahrain,59.1,3.4,2.1,15.2,12.8,7.4,1425171,Asia
20,Bahamas,46.0,7.0,7.0,12.0,15.0,13.0,386838,North America
22,Belarus,30.0,8.0,2.0,35.0,5.0,12.0,9489616,Europe
23,Belize,47.0,8.0,5.0,5.0,16.0,19.0,359288,North America
24,Bermuda,17.0,9.0,6.0,26.0,29.0,13.0,64798,North America
25,Bolivia,55.19691119691119,2.9034749034749034,2.501930501930502,22.702702702702705,6.501930501930501,10.193050193050194,10724705,South America
26,Brazil,51.4,2.4,2.9,16.7,13.1,13.5,208494896,South America
27,Barbados,18.3,3.7,4.9,5.7,19.7,17.1,280601,North America
28,Brunei Darussalam,36.0,3.0,4.0,15.0,18.0,16.0,423196,Asia
29,Bhutan,58.0,4.0,1.0,7.0,17.0,13.0,686958,Asia
32,Canada,24.0,6.0,13.0,8.0,47.0,3.0,35544564,North America
33,Switzerland,29.0,4.0,3.0,29.0,20.0,15.0,8574832,Europe
35,Chile,53.3,6.6,2.3,16.0,12.4,9.4,16829442,South America
36,China,61.2,2.1,1.1,13.1,9.6,9.8,1400050048,Asia
38,Cameroon,83.4,0.1,0.7,10.4,2.1,3.3,21655716,Africa
41,Colombia,59.58,2.35,1.1,15.74,8.4,12.83,46406648,South America
42,Comoros,50.0,2.0,4.0,22.0,7.0,5.0,777424,Africa
44,Costa Rica,58.0,1.0,2.0,7.0,21.0,11.0,4757575,North America
45,Cuba,68.9,4.6,1.6,3.0,12.3,9.6,11303687,North America
47,Cayman Islands,10.9,3.5,6.2,11.4,31.1,11.0,59172,North America
48,Cyprus,41.47,2.66,3.25,10.07,25.7,14.77,1198575,Asia
49,Czech Republic,62.3,2.4,8.4,14.899999999999997,9.1,2.2,10669709,Europe
50,Germany,30.0,10.0,1.4,17.7,24.0,13.0,83132800,Europe
52,Dominica,45.0,8.0,5.0,14.0,12.0,16.0,72400,North America
53,Denmark,12.78,5.78,6.29,23.86,11.57,1.61,5818553,Europe
54,Dominican Republic,51.0,6.0,3.0,10.0,16.0,10.0,10528394,North America
55,Algeria,54.4,1.2,2.8,0.8,9.8,16.9,40606052,Africa
56,Ecuador,58.67,3.01,1.53,13.78,10.25,11.44,16144368,South America
57,Egypt,56.0,4.0,2.0,15.0,10.0,13.0,87813256,Africa
59,Spain,49.0,8.0,3.0,14.0,15.0,9.0,47076780,Europe
60,Estonia,36.7,8.3,2.6,15.9,17.5,18.6,1326590,Europe
61,Ethiopia,87.6,0.8,1.2,4.4,3.8,2.3,99873032,Africa
62,Finland,35.88,9.24,1.7,13.13,37.83,1.45,5520314,Europe
63,Fiji,33.2,4.1,1.9,3.5,12.5,7.5,867086,Oceania
64,France,32.0,10.0,3.0,26.0,20.0,9.0,67059888,Europe
66,Micronesia,23.83,7.07,16.73,9.32,13.3,26.17,104937,Oceania
68,United Kingdom,16.7,2.2,3.5,28.2,18.9,20.2,66460344,Europe
69,Georgia,39.0,3.0,5.0,16.0,34.0,3.0,3717100,Asia
70,Ghana,67.0,0.0,1.0,25.0,3.0,4.0,21542008,Africa
71,Gibraltar,24.57,4.42,4.37,14.38,33.65,15.86,33623,Europe
72,Guinea,58.0,1.0,1.0,27.0,9.0,4.0,8132552,Africa
76,Greece,40.0,3.0,3.0,9.0,29.0,14.0,10716322,Europe
77,Grenada,27.1,3.1,2.4,36.5,13.6,16.4,105481,North America
78,Greenland,42.8,7.1,2.0,33.4,11.4,2.4,56905,North America
80,Guam,27.3,4.6,9.0,8.7,28.5,12.4,159973,Oceania
81,Guyana,50.1,4.7,4.2,12.099999999999998,10.7,14.2,746556,South America
82,Hong Kong,35.0,3.0,2.0,14.0,22.0,21.0,7305700,Asia
83,Honduras,57.9,1.27,2.11,6.62,17.36,14.41,9112867,North America
84,Croatia,30.9,3.7,2.1,11.5,23.2,22.9,4067500,Europe
85,Haiti,61.3,1.6,2.5,16.80000000000001,4.1,12.7,10847334,North America
86,Hungary,22.5,3.5,1.8,45.9,13.4,13.0,9769949,Europe
87,Indonesia,53.8,2.5,1.8,12.9,14.9,14.0,261115456,Asia
90,Ireland,16.6,8.5,3.7,25.8,25.0,12.4,4867316,Europe
91,Iran,72.9,1.9,2.3,5.0,7.3,8.5,80277424,Asia
92,Iraq,68.7,2.3,0.98,6.0,9.6,5.29,36115648,Asia
94,Israel,34.0,3.0,3.0,16.0,24.0,18.0,8380100,Asia
95,Italy,34.4,7.6,4.3,15.4,22.8,11.6,60297396,Europe
96,Jamaica,62.22,2.81,2.38,5.13,14.73,12.2,2881355,North America
97,Jordan,50.0,2.0,1.5,15.5,15.0,16.0,8413464,Asia
98,Japan,36.0,5.0,4.0,6.0,33.0,11.0,126529104,Asia
99,Kazakhstan,30.0,5.0,3.0,7.0,25.0,25.0,16791424,Asia
100,Kenya,57.0,3.0,1.0,9.0,11.3,18.7,41350152,Africa
102,Cambodia,66.6,2.6,2.0,10.4,4.0,8.6,15270790,Asia
103,Kiribati,43.6,5.5,10.0,9.3,10.9,16.5,114395,Oceania
104,St. Kitts and Nevis,27.2,8.1,8.8,12.2,20.5,23.2,54288,North America
106,Kuwait,45.0,4.0,2.0,8.0,20.0,20.0,2998083,Asia
107,Lao People's Democratic Republic,16.9,9.3,3.7,20.3,2.8,6.1,6663967,Asia
108,Lebanon,52.5,3.5,5.5,11.0,16.0,11.5,5603279,Asia
110,Libya,70.1,3.1,4.3,3.8,5.5,7.5,6193501,Africa
111,St. Lucia,45.0,7.0,5.0,11.0,10.0,22.0,177206,North America
112,Liechtenstein,37.6,5.0,12.5,9.1,30.3,5.4,36545,Europe
113,Sri Lanka,62.0,2.0,3.0,13.0,7.0,7.0,21203000,Asia
115,Lithuania,40.4,8.65,2.75,44.05,10.05,10.15,2786844,Europe
116,Luxembourg,30.0,4.0,2.0,27.0,19.0,18.0,619896,Europe
117,Latvia,46.7,21.4,2.6,9.7,6.1,7.7,1912789,Europe
118,Macao,3.1,3.3,1.7,3.1,58.7,7.9,612167,Asia
120,Morocco,60.0,2.0,2.5,6.0,9.0,8.0,34318080,Africa
122,Moldova,55.0,4.0,3.0,23.0,5.0,10.0,3554108,Europe
125,Mexico,52.4,5.9,3.4,12.1,13.8,10.9,125890952,North America
126,Marshall Islands,8.0,2.0,6.0,31.0,11.0,13.0,52793,Oceania
127,North Macedonia,29.3,4.1,2.5,19.8,12.8,13.900000000000002,2082958,Europe
128,Mali,17.5,1.0,3.5,72.5,3.5,2.0,16006670,Africa
129,Malta,52.0,6.0,4.0,9.5,18.0,12.0,502653,Europe
131,Montenegro,33.82,8.97,2.9,19.46,13.72,18.42,622227,Europe
133,Northern Mariana Islands,43.6,5.5,10.0,9.3,10.9,16.5,54036,Oceania
135,Mauritania,4.8,4.0,4.2,59.7,7.3,20.0,3506288,Africa
138,Malaysia,46.0,3.0,3.0,9.0,14.0,15.0,30228016,Asia
140,New Caledonia,43.6,5.5,10.0,9.3,10.9,16.5,278000,Oceania
144,Netherlands,35.0,5.4,4.3,20.24,21.0,14.0,17332850,Europe
145,Norway,15.49,4.6,6.12,13.15,26.57,2.25,5347896,Europe
146,Nepal,52.39,4.36,1.9,7.12,18.21,15.14,28982772,Asia
147,Nauru,43.6,5.5,10.0,9.3,10.9,16.5,13049,Oceania
148,New Zealand,28.0,4.0,4.5,37.0,7.0,8.0,4692700,Oceania
150,Pakistan,30.0,6.0,4.0,20.0,13.0,9.0,193203472,Asia
151,Panama,46.4,5.8,3.8,5.7,26.3,12.0,3969249,North America
152,Peru,50.43,3.05,2.64,21.7,7.44,10.52,30973354,South America
153,Philippines,52.31,2.34,4.22,21.52,8.7,10.55,103320224,Asia
154,Palau,26.0,5.0,10.0,9.0,15.0,32.0,21503,Oceania
156,Poland,37.27,10.07,2.17,26.69,11.27,12.13,37970872,Europe
157,Puerto Rico,13.1,2.4,10.4,23.8,19.4,10.4,3473181,North America
158,Portugal,36.49,6.73,1.85,27.680000000000003,13.64,10.72,10269417,Europe
160,"Palestine, State of",59.1,2.4,2.7,11.5,10.1,14.2,4046901,Asia
161,French Polynesia,47.0,3.0,3.0,29.0,16.0,2.0,273528,Oceania
162,Qatar,57.0,4.0,9.0,5.0,11.0,14.0,2109568,Asia
163,Romania,56.26,4.89,2.5,10.68,11.34,12.33,19356544,Europe
164,Russian Federation,28.41,16.82,1.83,19.03,19.7,14.21,143201680,Europe
166,Saudi Arabia,45.5,4.0,5.0,2.5,27.0,11.0,31557144,Asia
167,Sudan,51.4,3.5,1.7,18.9,11.8,12.7,38647804,Africa
168,Senegal,12.0,2.0,2.0,68.0,5.0,9.0,15411614,Africa
169,Singapore,10.51,0.93,19.12,32.3,14.86,10.58,5703600,Asia
170,Solomon Islands,42.8,6.65,13.15,3.7,6.45,22.35,563513,Oceania
172,El Salvador,65.0,4.0,2.0,7.0,12.0,10.0,6164626,North America
173,San Marino,5.35,5.61,0.9,65.56,13.21,5.6,33203,Europe
175,Serbia,37.62,5.44,1.38,16.72,13.57,12.73,6944975,Europe
179,Slovak Republic,42.0,19.0,2.0,1.0,25.0,11.0,5454073,Europe
184,Seychelles,48.5,5.2,4.6,25.800000000000004,5.9,9.9,88303,Africa
185,Syrian Arab Republic,57.0,3.0,4.0,22.0,7.0,7.0,20824892,Asia
186,Turks and Caicos Islands,21.8,20.5,7.6,2.4,31.5,16.3,34900,North America
187,Chad,70.0,1.0,2.0,18.0,3.0,6.0,11887202,Africa
188,Togo,38.0,2.0,4.0,42.0,4.0,10.0,7228915,Africa
189,Thailand,65.52,3.04,1.85,4.74,7.6,17.59,68657600,Asia
193,Tonga,51.3,5.9,9.0,8.9,7.4,13.4,104951,Oceania
194,Trinidad and Tobago,27.15,10.15,3.74,17.19,22.6,19.17,1328100,North America
195,Tunisia,68.0,2.0,4.0,5.0,10.0,11.0,11143908,Africa
196,Turkey,64.0,2.0,1.0,24.0,6.0,3.0,83429616,Asia
197,Tuvalu,43.6,5.5,10.0,9.3,10.9,16.5,11097,Oceania
200,Uganda,74.5,0.8,0.6,10.6,6.0,7.6,35093648,Africa
201,Ukraine,37.0,5.0,4.0,22.0,25.0,7.0,45004644,Europe
202,Uruguay,53.5,3.0,5.0,7.5,20.0,11.0,3431552,South America
203,United States,14.9,4.4,9.0,3.2,26.6,12.9,326687488,North America
204,Uzbekistan,40.0,3.0,2.0,17.5,17.5,2.5,29774500,Asia
205,Saint Vincent and the Grenadines,49.6,5.6,3.8,10.5,22.1,8.4,109455,North America
207,British Virgin Islands,6.5,18.1,8.6,4.8,33.5,6.3,20645,North America
209,Vietnam,61.9,2.18,0.58,15.18,5.2,12.15,86932496,Asia
210,Vanuatu,73.4,5.4,3.8,5.7,4.05,6.45,270402,Oceania
211,Samoa,42.6,2.2,8.8,19.4,7.2,13.0,187665,Oceania
213,Yemen,65.0,1.0,6.0,6.0,7.0,10.0,27584212,Asia
214,South Africa,16.381654627302726,5.200216370472019,16.9104608968452,45.02064556592234,9.396918237794267,7.090104301663434,51729344,Africa
216,Zimbabwe,36.0,5.0,6.0,3.0,27.0,23.0,12500525,Africa
