DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AL,2020,18.1,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AL,2021,18.7,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2000,63.4,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2001,64.3,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2002,62.5,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2003,64.2,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2004,57.4,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2005,58.3,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2006,59.2,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2007,60.2,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2008,63.2,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2009,61.9,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2010,59.4,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2011,56.7,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2012,57.7,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2013,57.7,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2014,56.3,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2015,56.9,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2016,57.6,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2017,57.8,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2018,57.7,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2019,58.2,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,AT,2020,62.3,b
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2008,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2009,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2010,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2011,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2012,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2013,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2014,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2015,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2016,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BA,2017,0.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2000,49.7,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2001,50.4,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2002,51.5,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2003,52.9,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2004,53.5,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2005,55.6,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2006,56.1,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2007,56.8,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2008,52.7,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2009,53.9,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2010,54.8,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2011,54.4,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2012,53.4,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2013,52.8,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2014,53.8,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2015,53.5,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2016,53.5,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2017,53.9,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2018,54.4,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2019,54.7,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2020,51.4,b
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BE,2021,53.3,p
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2000,15.5,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2001,16.1,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2002,16.3,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2003,16.5,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2004,17.2,be
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2005,18.3,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2006,19.1,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2007,20.6,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2008,19.4,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2009,19.9,e
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2010,24.5,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2011,26.2,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2012,25.0,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2013,28.5,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2014,23.1,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2015,29.4,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2016,31.8,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2017,34.6,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2018,31.5,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2019,34.6,s
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,BG,2020,65.5,
ESTAT:SDG_11_60(1.0),13/01/23 23:00:00,A,PC,CH,2000,45.3,
